ID;Municipios;Poblacion;Densidad Comercial;Renta Por Hogar
25128;Llimiana;150;0; 31’050 € 
25129;Llobera;190;0; 43’250 € 
25130;Maldà;240;0; 29’850 € 
25131;Massalcoreig;600;208.7; 27’850 € 
25132;Massoteres;220;0; 38’500 € 
25133;Maials;930;0; 27’550 € 
25134;Menàrguens;790;126.7; 31’400 € 
25135;Miralcamp;1’370;0; 33’100 € 
25136;Molsosa, La;100;0; 44’550 € 
25137;Mollerussa;14’540;371.4; 33’550 € 
25138;Montgai;660;0; 34’800 € 
25139;Montellà i Martinet;600;0; 27’250 € 
25140;Montferrer i Castellbò;1’080;1480.1; 30’500 € 
25141;Montoliu de Segarra;190;0; 29’300 € 
25142;Montoliu de Lleida;490;0; 34’100 € 
25143;Montornès de Segarra;90;0; 35’150 € 
25145;Nalec;90;0; 35’150 € 
25146;Navès;290;0; 35’250 € 
25148;Odèn;250;0; 43’700 € 
25149;Oliana;1’860;573.5; 34’700 € 
25150;Oliola;200;0; 41’950 € 
25151;Olius;960;0; 43’600 € 
25152;Oluges, Les;170;0; 53’050 € 
25153;Omellons, Els;200;0; 27’300 € 
25154;Omells de na Gaia, Els;130;0; 28’650 € 
25155;Organyà;770;0; 26’600 € 
25156;Os de Balaguer;1’000;0; 34’850 € 
25157;Ossó de Sió;200;0; 59’600 € 
25158;Palau d'Anglesola, El;2’200;204.1; 37’150 € 
25161;Conca de Dalt;420;0; 34’100 € 
25163;Coma i la Pedra, La;280;0; 33’050 € 
25164;Penelles;440;0; 37’450 € 
25165;Peramola;350;0; 32’700 € 
25166;Pinell de Solsonès;190;0; 40’950 € 
25167;Pinós;290;0; 39’250 € 
25168;Poal, El;670;187.4; 37’350 € 
25169;Pobla de Cérvoles, La;200;404; 25’100 € 
25170;Bellaguarda;290;0; 27’300 € 
25171;Pobla de Segur, La;3’050;434.1; 31’350 € 
25172;Ponts;2’630;589.2; 31’200 € 
25173;Pont de Suert, El;2’330;503.6; 31’950 € 
25174;Portella, La;730;0; 39’200 € 
25175;Prats i Sansor;250;0; 37’700 € 
25176;Preixana;390;0; 31’000 € 
25177;Preixens;420;0; 30’400 € 
25179;Prullans;250;0; 24’550 € 
25180;Puiggròs;270;0; 30’650 € 
25181;Puigverd d'Agramunt;230;0; 30’900 € 
25182;Puigverd de Lleida;1’380;130.1; 34’300 € 
25183;Rialp;660;88.1; 32’000 € 
25185;Ribera d'Urgellet;950;0; 29’600 € 
25186;Riner;280;0; 39’650 € 
25189;Rosselló;3’190;502.5; 34’900 € 
25190;Salàs de Pallars;340;0; 31’800 € 
25191;Sanaüja;400;0; 30’400 € 
25192;Sant Guim de Freixenet;1’060;190.7; 30’850 € 
25193;Sant Llorenç de Morunys;980;0; 33’750 € 
25194;Sant Ramon;500;533.2; 38’450 € 
25196;Sant Esteve de la Sarga;120;0; 32’700 € 
25197;Sant Guim de la Plana;180;0; 39’350 € 
25200;Sarroca de Lleida;360;0; 29’400 € 
25201;Sarroca de Bellera;120;0; 40’150 € 
25202;Senterada;150;0; 33’050 € 
25203;Seu d'Urgell, La;12’250;133.2; 27’350 € 
25204;Seròs;1’920;153.4; 29’950 € 
25205;Sidamon;750;165.6; 36’050 € 
25206;Soleràs, El;340;0; 26’250 € 
25207;Solsona;9’170;556.5; 30’700 € 
25208;Soriguera;430;290; 28’650 € 
25209;Sort;2’180;568.1; 30’600 € 
25210;Soses;1’780;73; 34’650 € 
25211;Sudanell;840;290.3; 33’100 € 
25212;Sunyer;330;0; 32’100 € 
25215;Talarn;490;0; 35’000 € 
25216;Talavera;290;0; 47’000 € 
25217;Tàrrega;17’650;603.9; 31’900 € 
25218;Tarrés;100;0; 29’800 € 
25219;Tarroja de Segarra;190;0; 33’700 € 
25220;Térmens;1’330;422.6; 35’100 € 
25221;Tírvia;130;0; 27’350 € 
25222;Tiurana;70;0; 35’150 € 
25223;Torà;1’210;307.7; 33’800 € 
25224;Torms, Els;140;0; 25’450 € 
25225;Tornabous;830;0; 33’650 € 
25226;Torrebesses;300;0; 29’000 € 
25227;Torre de Cabdella, La;760;0; 37’150 € 
25228;Torrefarrera;4’700;327.9; 39’950 € 
25230;Torregrossa;2’160;94.6; 33’000 € 
25231;Torrelameu;760;0; 36’250 € 
25232;Torres de Segre;2’380;149.1; 30’250 € 
25233;Torre-serona;390;4614.5; 40’750 € 
25234;Tremp;5’890;471.8; 30’350 € 
25238;Vallbona de les Monges;240;0; 31’300 € 
25239;Valls de Valira, Les;810;0; 25’200 € 
25240;Vallfogona de Balaguer;1’910;785.4; 36’550 € 
25242;Verdú;880;142; 30’800 € 
25243;Vielha e Mijaran;5’670;629.4; 32’950 € 
25244;Vilagrassa;590;0; 38’100 € 
25245;Vilaller;550;225.6; 30’550 € 
25247;Vilamòs;160;0; 32’900 € 
25248;Vilanova de Bellpuig;1’180;0; 36’400 € 
25249;Vilanova de l'Aguda;190;0; 42’350 € 
25250;Vilanova de Meià;430;292.7; 32’300 € 
25251;Vilanova de Segrià;1’000;0; 32’950 € 
25252;Vila-sana;760;65.7; 37’400 € 
25253;Vilosell, El;190;0; 27’650 € 
25254;Vilanova de la Barca;1’130;239.6; 35’300 € 
25255;Vinaixa;460;0; 27’400 € 
25901;Vall de Cardós;380;0; 30’550 € 
25902;Sant Martí de Riucorb;650;0; 31’550 € 
25903;Guingueta d'Àneu, La;300;0; 32’850 € 
25904;Castell de Mur;170;0; 28’000 € 
25905;Ribera d'Ondara;430;0; 33’600 € 
25906;Valls d'Aguilar, Les;260;0; 27’550 € 
25907;Torrefeta i Florejacs;600;0; 35’050 € 
25908;Fígols i Alinyà;260;0; 34’050 € 
25909;Vansa i Fórnols, La;160;0; 30’850 € 
25910;Josa i Tuixén;100;0; 35’150 € 
25911;Plans de Sió, Els;500;0; 35’850 € 
25912;Gimenells i el Pla de la Font;1’120;210.2; 34’650 € 
25913;Riu de Cerdanya;90;0; 35’150 € 
26001;Ábalos;250;0; 22’950 € 
26002;Agoncillo;1’150;0; 30’300 € 
26003;Aguilar del Río Alhama;460;0; 23’950 € 
26004;Ajamil de Cameros;70;0; 26’400 € 
26005;Albelda de Iregua;3’480;130.9; 29’000 € 
26006;Alberite;2’520;268.5; 28’950 € 
26007;Alcanadre;650;0; 21’550 € 
26008;Aldeanueva de Ebro;2’790;190.1; 25’900 € 
26009;Alesanco;500;0; 21’950 € 
26010;Alesón;90;0; 26’400 € 
26011;Alfaro;9’560;489.4; 30’400 € 
26012;Almarza de Cameros;40;0; 26’400 € 
26013;Anguciana;420;0; 24’350 € 
26014;Anguiano;510;117.4; 27’450 € 
26015;Arenzana de Abajo;240;0; 19’900 € 
26016;Arenzana de Arriba;30;0; 26’400 € 
26017;Arnedillo;450;0; 24’650 € 
26018;Arnedo;14’950;360.2; 30’100 € 
26019;Arrúbal;540;0; 27’650 € 
26020;Ausejo;780;0; 22’950 € 
26021;Autol;4’700;253.7; 28’100 € 
26022;Azofra;230;0; 20’450 € 
26023;Badarán;500;0; 24’950 € 
26024;Bañares;220;0; 28’700 € 
26025;Baños de Rioja;80;0; 26’400 € 
26026;Baños de Río Tobía;1’580;213.5; 28’900 € 
26027;Berceo;150;0; 25’250 € 
26028;Bergasa;150;0; 27’900 € 
26029;Bergasillas Bajera;30;0; 26’400 € 
26031;Bobadilla;100;0; 26’400 € 
26032;Brieva de Cameros;50;0; 26’400 € 
26033;Briñas;190;0; 22’900 € 
26034;Briones;750;0; 24’050 € 
26035;Cabezón de Cameros;20;0; 26’400 € 
26036;Calahorra;24’580;205; 30’150 € 
26037;Camprovín;170;0; 33’050 € 
26038;Canales de la Sierra;80;0; 26’400 € 
26039;Canillas de Río Tuerto;40;0; 26’400 € 
26040;Cañas;90;0; 26’400 € 
26041;Cárdenas;130;0; 19’900 € 
26042;Casalarreina;1’090;1908.3; 23’900 € 
26043;Castañares de Rioja;410;0; 22’700 € 
26044;Castroviejo;50;0; 26’400 € 
26046;Cenicero;2’110;113; 25’000 € 
26047;Cervera del Río Alhama;2’310;276.4; 26’200 € 
26048;Cidamón;20;0; 26’400 € 
26049;Cihuri;180;0; 20’500 € 
26050;Cirueña;180;0; 25’100 € 
26051;Clavijo;290;0; 28’700 € 
26052;Cordovín;160;0; 25’200 € 
26053;Corera;260;0; 22’750 € 
26054;Cornago;320;201.9; 23’100 € 
26055;Corporales;40;0; 26’400 € 
26056;Cuzcurrita de Río Tirón;520;0; 25’250 € 
26057;Daroca de Rioja;60;0; 26’400 € 
26058;Enciso;170;0; 24’650 € 
26059;Entrena;1’610;0; 27’900 € 
26060;Estollo;80;0; 26’400 € 
26061;Ezcaray;2’080;774.6; 27’800 € 
26062;Foncea;100;0; 26’400 € 
26063;Fonzaleche;150;0; 35’500 € 
26064;Fuenmayor;3’190;139.1; 30’200 € 
26065;Galbárruli;80;0; 26’400 € 
26066;Galilea;390;194.8; 28’100 € 
26068;Gimileo;110;0; 30’500 € 
26069;Grañón;250;0; 24’050 € 
26070;Grávalos;180;0; 22’500 € 
26071;Haro;11’640;543; 27’450 € 
26072;Herce;330;0; 23’650 € 
26073;Herramélluri;100;0; 27’550 € 
26074;Hervías;120;0; 25’250 € 
26075;Hormilla;430;291.4; 22’850 € 
26076;Hormilleja;140;0; 20’950 € 
26077;Hornillos de Cameros;20;0; 26’400 € 
26078;Hornos de Moncalvillo;100;0; 26’400 € 
26079;Huércanos;870;0; 22’750 € 
26080;Igea;630;0; 22’500 € 
26081;Jalón de Cameros;20;0; 26’400 € 
26082;Laguna de Cameros;110;0; 28’000 € 
26083;Lagunilla del Jubera;330;0; 29’950 € 
26084;Lardero;11’040;110.6; 34’200 € 
26086;Ledesma de la Cogolla;20;0; 26’400 € 
26087;Leiva;240;0; 25’000 € 
26088;Leza de Río Leza;40;0; 26’400 € 
26089;Logroño;150’810;435.8; 32’850 € 
26091;Lumbreras;150;0; 37’500 € 
26092;Manjarrés;120;0; 25’750 € 
26093;Mansilla de la Sierra;50;0; 26’400 € 
26094;Manzanares de Rioja;60;0; 26’400 € 
26095;Matute;100;0; 26’400 € 
26096;Medrano;340;0; 33’100 € 
26098;Munilla;110;0; 18’800 € 
26099;Murillo de Río Leza;1’620;157.7; 27’350 € 
26100;Muro de Aguas;70;0; 26’400 € 
26101;Muro en Cameros;30;0; 26’400 € 
26102;Nájera;8’060;521.1; 28’550 € 
26103;Nalda;1’130;53.2; 26’100 € 
26105;Navarrete;3’000;89.1; 30’400 € 
26106;Nestares;90;0; 26’400 € 
26107;Nieva de Cameros;90;0; 26’400 € 
26108;Ocón;330;0; 29’500 € 
26109;Ochánduri;80;0; 26’400 € 
26110;Ojacastro;180;0; 23’050 € 
26111;Ollauri;310;322.6; 26’450 € 
26112;Ortigosa de Cameros;220;714.3; 28’300 € 
26113;Pazuengos;30;0; 26’400 € 
26114;Pedroso;80;0; 26’400 € 
26115;Pinillos;20;0; 26’400 € 
26117;Pradejón;3’930;79.2; 30’150 € 
26118;Pradillo;60;0; 26’400 € 
26119;Préjano;210;0; 35’150 € 
26120;Quel;2’070;110.9; 25’150 € 
26121;Rabanera;30;0; 26’400 € 
26122;Rasillo de Cameros, El;140;0; 27’150 € 
26123;Redal, El;150;0; 25’250 € 
26124;Ribafrecha;1’010;0; 25’200 € 
26125;Rincón de Soto;3’900;231.5; 27’650 € 
26126;Robres del Castillo;30;0; 26’400 € 
26127;Rodezno;210;0; 24’650 € 
26128;Sajazarra;130;0; 29’150 € 
26129;San Asensio;1’110;0; 21’900 € 
26130;San Millán de la Cogolla;220;0; 31’900 € 
26131;San Millán de Yécora;30;0; 26’400 € 
26132;San Román de Cameros;130;0; 29’950 € 
26134;Santa Coloma;100;0; 26’400 € 
26135;Santa Engracia del Jubera;170;0; 28’700 € 
26136;Santa Eulalia Bajera;110;0; 28’850 € 
26138;Santo Domingo de la Calzada;6’220;491.5; 27’100 € 
26139;San Torcuato;70;0; 26’400 € 
26140;Santurde de Rioja;280;0; 25’400 € 
26141;Santurdejo;100;0; 24’550 € 
26142;San Vicente de la Sonsierra;1’020;108.4; 23’300 € 
26143;Sojuela;470;0; 30’950 € 
26144;Sorzano;230;0; 25’800 € 
26145;Sotés;280;0; 30’350 € 
26146;Soto en Cameros;80;0; 26’400 € 
26147;Terroba;40;0; 26’400 € 
26148;Tirgo;180;0; 23’650 € 
26149;Tobía;50;0; 26’400 € 
26150;Tormantos;120;0; 21’800 € 
26151;Torrecilla en Cameros;450;0; 29’250 € 
26152;Torrecilla sobre Alesanco;40;0; 26’400 € 
26155;Treviana;140;0; 24’550 € 
26157;Tricio;360;0; 23’350 € 
26158;Tudelilla;330;179.6; 23’050 € 
26160;Uruñuela;980;0; 29’300 € 
26162;Valgañón;140;0; 25’900 € 
26163;Ventosa;210;0; 32’400 € 
26164;Ventrosa;60;0; 26’400 € 
26165;Viguera;400;0; 26’300 € 
26166;Villalba de Rioja;160;0; 35’500 € 
26167;Villalobar de Rioja;70;0; 26’400 € 
26168;Villamediana de Iregua;8’610;199.1; 30’050 € 
26169;Villanueva de Cameros;70;0; 26’400 € 
26170;Villar de Arnedo, El;590;101.7; 24’600 € 
26171;Villar de Torre;160;0; 26’600 € 
26172;Villarejo;30;0; 26’400 € 
26174;Villarta-Quintana;140;0; 23’150 € 
26175;Villavelayo;40;0; 26’400 € 
26176;Villaverde de Rioja;60;0; 26’400 € 
26177;Villoslada de Cameros;350;0; 28’100 € 
26178;Viniegra de Abajo;80;0; 26’400 € 
26179;Viniegra de Arriba;40;0; 26’400 € 
26180;Zarratón;260;0; 28’050 € 
26181;Zarzosa;10;0; 26’400 € 
26183;Zorraquín;90;0; 26’400 € 
27001;Abadín;2’300;137.1; 24’150 € 
27002;Alfoz;1’610;62.1; 28’750 € 
27003;Antas de Ulla;1’930;237.7; 26’300 € 
27004;Baleira;1’190;84; 26’250 € 
27005;Barreiros;3’000;367.2; 26’850 € 
27006;Becerreá;2’830;546; 24’950 € 
27007;Begonte;2’980;127.7; 26’200 € 
27008;Bóveda;1’410;260.1; 24’650 € 
27009;Carballedo;2’120;430.5; 25’050 € 
27010;Castro de Rei;5’110;229.5; 28’850 € 
27011;Castroverde;2’610;229.2; 28’900 € 
27012;Cervantes;1’290;0; 25’850 € 
27013;Cervo;4’190;206.8; 34’450 € 
27014;Corgo, O;3’440;197.7; 29’650 € 
27015;Cospeito;4’370;313.2; 27’500 € 
27016;Chantada;8’130;465.3; 24’750 € 
27017;Folgoso do Courel;990;141.6; 25’350 € 
27018;Fonsagrada, A;3’330;246.1; 25’150 € 
27019;Foz;10’080;690; 29’350 € 
27020;Friol;3’680;374; 27’600 € 
27021;Xermade;1’770;226.2; 27’150 € 
27022;Guitiriz;5’460;323.2; 26’900 € 
27023;Guntín;2’640;272.9; 28’800 € 
27024;Incio, O;1’520;52.6; 25’650 € 
27025;Xove;3’360;156.2; 31’100 € 
27026;Láncara;2’550;238.7; 26’500 € 
27027;Lourenzá;2’130;296.4; 26’900 € 
27028;Lugo;97’610;607.1; 30’750 € 
27029;Meira;1’730;407.3; 28’850 € 
27030;Mondoñedo;3’480;347.1; 25’850 € 
27031;Monforte de Lemos;18’240;551.9; 26’150 € 
27032;Monterroso;3’560;486; 24’250 € 
27033;Muras;610;245.5; 24’200 € 
27034;Navia de Suarna;1’040;96.1; 25’050 € 
27035;Negueira de Muñiz;220;0; 18’350 € 
27037;Nogais, As;1’020;0; 25’300 € 
27038;Ourol;980;0; 24’700 € 
27039;Outeiro de Rei;5’220;76.7; 33’400 € 
27040;Palas de Rei;3’320;339.6; 23’750 € 
27041;Pantón;2’430;61.8; 23’000 € 
27042;Paradela;1’720;185.7; 33’000 € 
27043;Páramo, O;1’350;22.3; 29’250 € 
27044;Pastoriza, A;2’920;194.3; 29’300 € 
27045;Pedrafita do Cebreiro;940;217.4; 29’550 € 
27046;Pol;1’630;61.2; 28’050 € 
27047;Pobra do Brollón, A;1’620;0; 23’350 € 
27048;Pontenova, A;2’210;302.7; 28’200 € 
27049;Portomarín;1’380;213.5; 28’000 € 
27050;Quiroga;3’150;662; 20’600 € 
27051;Ribadeo;9’870;693.5; 28’400 € 
27052;Ribas de Sil;950;279.1; 23’600 € 
27053;Ribeira de Piquín;510;0; 28’000 € 
27054;Riotorto;1’210;0; 28’200 € 
27055;Samos;1’220;0; 20’250 € 
27056;Rábade;1’520;316.3; 27’350 € 
27057;Sarria;13’260;563.3; 26’100 € 
27058;Saviñao, O;3’590;185.3; 23’050 € 
27059;Sober;2’240;80.2; 21’950 € 
27060;Taboada;2’690;257.3; 27’050 € 
27061;Trabada;1’110;134.6; 29’550 € 
27062;Triacastela;630;0; 25’250 € 
27063;Valadouro, O;1’960;436.2; 25’400 € 
27064;Vicedo, O;1’660;331.9; 27’000 € 
27065;Vilalba;14’010;431.7; 28’350 € 
27066;Viveiro;15’310;670.4; 29’700 € 
27901;Baralla;2’440;279.3; 26’750 € 
27902;Burela;9’430;651.5; 30’650 € 
28001;Acebeda, La;60;0; 27’400 € 
28002;Ajalvir;4’680;125.1; 39’850 € 
28003;Alameda del Valle;250;0; 30’450 € 
28004;Álamo, El;9’910;292.6; 30’950 € 
28005;Alcalá de Henares;195’980;326.2; 35’900 € 
28006;Alcobendas;116’590;427.3; 49’050 € 
28007;Alcorcón;170’820;328.2; 36’150 € 
28008;Aldea del Fresno;3’090;352.7; 26’800 € 
28009;Algete;20’750;379.1; 48’950 € 
28010;Alpedrete;14’970;214; 42’400 € 
28011;Ambite;660;0; 24’050 € 
28012;Anchuelo;1’360;0; 30’700 € 
28013;Aranjuez;59’830;325.3; 34’300 € 
28014;Arganda del Rey;56’390;256; 33’900 € 
28015;Arroyomolinos;33’690;218.6; 45’400 € 
28016;Atazar, El;110;0; 26’900 € 
28017;Batres;1’820;0; 38’850 € 
28018;Becerril de la Sierra;6’110;120.3; 38’850 € 
28019;Belmonte de Tajo;1’750;130.2; 27’050 € 
28020;Berzosa del Lozoya;220;416.7; 28’050 € 
28021;Berrueco, El;800;430.9; 30’100 € 
28022;Boadilla del Monte;59’050;200.9; 69’500 € 
28023;Boalo, El;8’010;173.6; 41’750 € 
28024;Braojos;220;0; 31’000 € 
28025;Brea de Tajo;520;0; 21’900 € 
28026;Brunete;10’730;607.3; 39’650 € 
28027;Buitrago del Lozoya;1’940;489.7; 31’250 € 
28028;Bustarviejo;2’700;262.9; 30’900 € 
28029;Cabanillas de la Sierra;840;0; 36’500 € 
28030;Cabrera, La;2’780;163.9; 35’200 € 
28031;Cadalso de los Vidrios;3’200;212.9; 25’250 € 
28032;Camarma de Esteruelas;7’560;63.5; 37’550 € 
28033;Campo Real;6’420;153.7; 31’800 € 
28034;Canencia;460;0; 24’550 € 
28035;Carabaña;2’140;190.5; 25’300 € 
28036;Casarrubuelos;3’940;85; 34’850 € 
28037;Cenicientos;2’080;233.3; 23’950 € 
28038;Cercedilla;7’360;194.9; 35’050 € 
28039;Cervera de Buitrago;160;0; 27’350 € 
28040;Ciempozuelos;25’080;313.2; 31’850 € 
28041;Cobeña;7’440;399; 52’000 € 
28042;Colmenar del Arroyo;1’880;85.3; 34’650 € 
28043;Colmenar de Oreja;8’300;171.9; 27’200 € 
28044;Colmenarejo;9’370;167; 41’150 € 
28045;Colmenar Viejo;52’480;363.8; 43’050 € 
28046;Collado Mediano;7’350;311.2; 41’250 € 
28047;Collado Villalba;63’820;392.4; 35’600 € 
28048;Corpa;740;0; 28’300 € 
28049;Coslada;81’270;244.2; 36’150 € 
28050;Cubas de la Sagra;6’640;377.7; 39’700 € 
28051;Chapinería;2’490;0; 32’600 € 
28052;Chinchón;5’510;234.7; 27’850 € 
28053;Daganzo de Arriba;10’520;248.6; 45’050 € 
28054;Escorial, El;16’600;230.7; 38’350 € 
28055;Estremera;1’380;445.3; 27’350 € 
28056;Fresnedillas de la Oliva;1’740;0; 29’300 € 
28057;Fresno de Torote;2’420;121.7; 35’650 € 
28058;Fuenlabrada;192’230;285.5; 32’800 € 
28059;Fuente el Saz de Jarama;6’880;306.3; 35’750 € 
28060;Fuentidueña de Tajo;2’230;346.5; 26’000 € 
28061;Galapagar;34’710;208.3; 41’400 € 
28062;Garganta de los Montes;410;170.3; 31’900 € 
28063;Gargantilla del Lozoya y Pinilla de Buitrago;340;517.4; 28’100 € 
28064;Gascones;190;0; 33’200 € 
28065;Getafe;183’100;390.5; 34’400 € 
28066;Griñón;10’470;112.7; 42’900 € 
28067;Guadalix de la Sierra;6’590;270.4; 35’650 € 
28068;Guadarrama;16’750;194.1; 38’100 € 
28069;Hiruela, La;70;0; 27’400 € 
28070;Horcajo de la Sierra-Aoslos;170;0; 30’600 € 
28071;Horcajuelo de la Sierra;110;0; 31’350 € 
28072;Hoyo de Manzanares;8’680;127.6; 48’200 € 
28073;Humanes de Madrid;19’740;167.9; 31’100 € 
28074;Leganés;187’760;340.4; 32’850 € 
28075;Loeches;8’860;72.3; 36’050 € 
28076;Lozoya;590;168.6; 31’300 € 
28078;Madarcos;60;0; 27’400 € 
28079;Madrid;3’305’400;214.9; 41’900 € 
28080;Majadahonda;72’030;594.6; 62’800 € 
28082;Manzanares el Real;9’200;189; 38’500 € 
28083;Meco;14’900;210.8; 40’750 € 
28084;Mejorada del Campo;23’740;258.8; 32’050 € 
28085;Miraflores de la Sierra;6’590;271.7; 34’250 € 
28086;Molar, El;9’290;214.3; 31’100 € 
28087;Molinos, Los;4’560;350.6; 37’300 € 
28088;Montejo de la Sierra;360;191.8; 26’450 € 
28089;Moraleja de Enmedio;5’290;190.6; 38’150 € 
28090;Moralzarzal;13’570;507.1; 45’800 € 
28091;Morata de Tajuña;7’920;166.2; 29’350 € 
28092;Móstoles;209’570;277.8; 33’050 € 
28093;Navacerrada;3’220;186.3; 40’550 € 
28094;Navalafuente;1’570;171.6; 29’400 € 
28095;Navalagamella;2’720;33.1; 29’450 € 
28096;Navalcarnero;30’690;330.4; 35’900 € 
28097;Navarredonda y San Mamés;140;0; 26’050 € 
28099;Navas del Rey;3’060;207.1; 28’550 € 
28100;Nuevo Baztán;6’630;288.2; 37’650 € 
28101;Olmeda de las Fuentes;360;0; 35’500 € 
28102;Orusco de Tajuña;1’290;0; 25’100 € 
28104;Paracuellos de Jarama;26’240;165.3; 53’050 € 
28106;Parla;131’690;259.6; 29’700 € 
28107;Patones;520;0; 34’250 € 
28108;Pedrezuela;6’230;110.2; 35’600 € 
28109;Pelayos de la Presa;2’830;339.6; 25’900 € 
28110;Perales de Tajuña;3’060;155.3; 27’700 € 
28111;Pezuela de las Torres;930;377.6; 29’200 € 
28112;Pinilla del Valle;200;0; 29’350 € 
28113;Pinto;53’540;339.9; 36’100 € 
28114;Piñuécar-Gandullas;190;0; 25’350 € 
28115;Pozuelo de Alarcón;87’140;286; 72’750 € 
28116;Pozuelo del Rey;1’190;252.1; 30’950 € 
28117;Prádena del Rincón;150;0; 32’800 € 
28118;Puebla de la Sierra;80;0; 27’400 € 
28119;Quijorna;3’590;69.6; 34’900 € 
28120;Rascafría;1’750;153.9; 32’400 € 
28121;Redueña;290;0; 34’900 € 
28122;Ribatejada;860;0; 29’150 € 
28123;Rivas-Vaciamadrid;92’930;364.8; 47’650 € 
28124;Robledillo de la Jara;100;0; 27’400 € 
28125;Robledo de Chavela;4’480;196.2; 30’450 € 
28126;Robregordo;70;0; 27’400 € 
28127;Rozas de Madrid, Las;94’860;423.3; 62’700 € 
28128;Rozas de Puerto Real;590;0; 27’750 € 
28129;San Agustín del Guadalix;13’540;378.2; 52’200 € 
28130;San Fernando de Henares;39’320;404.4; 35’150 € 
28131;San Lorenzo de El Escorial;18’450;272.8; 37’100 € 
28132;San Martín de la Vega;19’850;332.7; 32’800 € 
28133;San Martín de Valdeiglesias;8’760;625.1; 29’000 € 
28134;San Sebastián de los Reyes;90’960;396.5; 43’000 € 
28135;Santa María de la Alameda;1’440;0; 25’350 € 
28136;Santorcaz;930;129.7; 29’250 € 
28137;Santos de la Humosa, Los;2’730;0; 33’850 € 
28138;Serna del Monte, La;100;0; 27’400 € 
28140;Serranillos del Valle;4’430;300.5; 39’950 € 
28141;Sevilla la Nueva;9’350;214.4; 36’850 € 
28143;Somosierra;90;0; 27’400 € 
28144;Soto del Real;9’090;124.1; 46’900 € 
28145;Talamanca de Jarama;4’120;159.6; 34’450 € 
28146;Tielmes;2’780;217.9; 26’850 € 
28147;Titulcia;1’360;0; 31’600 € 
28148;Torrejón de Ardoz;132’770;343.6; 34’750 € 
28149;Torrejón de la Calzada;9’550;285; 39’050 € 
28150;Torrejón de Velasco;4’590;78.1; 35’800 € 
28151;Torrelaguna;4’900;184; 33’050 € 
28152;Torrelodones;24’130;591.6; 66’900 € 
28153;Torremocha de Jarama;1’080;126; 35’800 € 
28154;Torres de la Alameda;7’730;340.1; 33’250 € 
28155;Valdaracete;610;0; 25’800 € 
28156;Valdeavero;1’670;0; 32’050 € 
28157;Valdelaguna;1’030;0; 27’000 € 
28158;Valdemanco;1’010;112.6; 30’350 € 
28159;Valdemaqueda;790;120.4; 23’700 € 
28160;Valdemorillo;13’250;293.8; 40’300 € 
28161;Valdemoro;77’590;271.1; 38’450 € 
28162;Valdeolmos-Alalpardo;4’310;29.7; 45’900 € 
28163;Valdepiélagos;610;0; 33’000 € 
28164;Valdetorres de Jarama;4’700;66; 35’400 € 
28165;Valdilecha;3’080;315; 27’900 € 
28166;Valverde de Alcalá;520;0; 32’100 € 
28167;Velilla de San Antonio;12’540;236.7; 37’500 € 
28168;Vellón, El;2’080;0; 29’250 € 
28169;Venturada;2’390;222.5; 51’500 € 
28170;Villaconejos;3’460;265.9; 26’500 € 
28171;Villa del Prado;6’840;166.3; 29’500 € 
28172;Villalbilla;15’050;202.2; 46’950 € 
28173;Villamanrique de Tajo;760;0; 25’250 € 
28174;Villamanta;2’640;107.8; 30’550 € 
28175;Villamantilla;1’510;165.1; 33’750 € 
28176;Villanueva de la Cañada;22’580;390.1; 59’100 € 
28177;Villanueva del Pardillo;17’310;211.3; 50’150 € 
28178;Villanueva de Perales;1’600;132; 35’200 € 
28179;Villar del Olmo;2’210;24.9; 36’000 € 
28180;Villarejo de Salvanés;7’550;364.1; 29’900 € 
28181;Villaviciosa de Odón;28’090;262.4; 56’150 € 
28182;Villavieja del Lozoya;280;0; 31’050 € 
28183;Zarzalejo;1’790;68.3; 26’350 € 
28901;Lozoyuela-Navas-Sieteiglesias;1’410;71.1; 27’850 € 
28902;Puentes Viejas;720;0; 29’750 € 
28903;Tres Cantos;48’750;381.7; 56’700 € 
29001;Alameda;5’450;262.6; 21’650 € 
29002;Alcaucín;2’370;33.8; 18’950 € 
29003;Alfarnate;1’060;132.5; 20’650 € 
29004;Alfarnatejo;360;0; 17’200 € 
29005;Algarrobo;6’550;546.8; 21’600 € 
29006;Algatocín;830;0; 17’750 € 
29007;Alhaurín de la Torre;41’870;260.5; 33’650 € 
29008;Alhaurín el Grande;26’100;157.2; 24’300 € 
29009;Almáchar;1’840;58.1; 18’900 € 
29010;Almargen;1’940;0; 24’750 € 
29011;Almogía;3’860;84; 20’800 € 
29012;Álora;13’340;144.5; 22’300 € 
29013;Alozaina;2’090;271.8; 19’900 € 
29014;Alpandeire;260;0; 17’200 € 
29015;Antequera;41’350;557; 27’900 € 
29016;Árchez;400;0; 18’450 € 
29017;Archidona;8’110;350.1; 23’650 € 
29018;Ardales;2’520;47.7; 21’600 € 
29019;Arenas;1’180;84.7; 17’000 € 
29020;Arriate;4’110;35.5; 24’750 € 
29021;Atajate;180;0; 17’050 € 
29022;Benadalid;240;0; 19’000 € 
29023;Benahavís;7’830;279.7; 24’000 € 
29024;Benalauría;440;0; 19’550 € 
29025;Benalmádena;70’200;324.6; 25’850 € 
29026;Benamargosa;1’530;218.2; 17’900 € 
